#,Name,Image,Icon,Availability,Availability 1,Time 1,Availability 2,Time 2,Location,Shadow Type,Tortimer Island Time,Spawn in Island Tour,Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Season (Encyclopedia),Location (Encyclopedia),Size Range (Encyclopedia),Furniture Size,HHA Base Points,Furniture Image,When HHA Lucky,Source Group,Museum Description,Catch Quote,Catch Quote 2,Notes,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH)
45,clown fish,,,Apr - Sep,Apr - Sep,All day,-,-,Sea,Tiny,All day,No,650,520,32,Spring - Fall,Sea,,1x1,3,,-,0E,"Clown fish spend their lives hiding among the feelers of sea anemones, a place that only they can live. Their homes may be dangerous, but they produce a special coating that protects them from the poison. In exchange for the anemone's protection, the clown fish chases off any parasitic bugs and enemies. Curiously, all clown fish are males when they're young but change into females if necessity demands.",I caught a clown fish! Who's laughing now?,-,,クマノミ,pez payaso,pez payaso,poisson-clown,poisson-clown,Anemonenfisch,pesce pagliaccio,흰동가리,2303,230D,int_fsh_kumanomi,No,,,,
46,surgeonfish,,,Apr - Sep,Apr - Sep,All day,-,-,Sea,Small,All day,No,"1,000",800,50,Spring - Fall,Sea,,1x1,3,,-,0E,"These tropical fish sport beautiful, yellow, triangular tails and elegant black lines on dazzling blue bodies. Personalitywise, the surgeonfish is actually rather laid back and timid. They seek out gaps in coral or between rocks for the greatest amount of protection while sleeping.","I caught a surgeonfish! It was a simple operation, though!",-,,ナンヨウハギ,pez cirujano,pez cirujano,poisson chirurgien,poisson chirurgien,Paletten-Doktorfisch,pesce chirurgo,블루탱,2304,230E,int_fsh_nanyou,No,,,,
47,butterfly fish,,,Apr - Sep,Apr - Sep,All day,-,-,Sea,Small,All day,No,"1,000",800,50,Spring - Fall,Sea,,1x1,3,,-,0E,"Butterfly fish are considered very cute pets, popular because of their beautiful nature. They glide through the warm seas by flapping their yellow bodies as if they were butterflies. Their diets are surprisingly hardy, as they gobble coral and poisonous anemones using narrow mouths. Butterfly-fish couples have been known to live together for 10 years or more. Often they can be seen swimming around in pairs. You'll likely never find a better underwater romance.","I caught a butterfly fish! As mayor, welcome to my pockets!","I caught a butterfly fish! Keep flying, fishy!",,チョウチョウウオ,pez mariposa,pez mariposa,poisson-papillon,poisson-papillon,Falterfisch,pesce farfalla,나비고기,2305,230F,int_fsh_chouchou,No,,,,
48,Napoleonfish,,,Jul - Aug,Jul - Aug,4 AM - 9 PM,-,-,Sea,Huge,4 AM - 9 PM,No,"10,000","8,000",500,Summer,Sea,,2x2,3,,Jun 1 - Aug 31,7A,"Called Napoleonfish, these fish also have the more accurate name of humphead wrasse. The true name comes from the distinctive humps on their heads. But ""Napoleonfish"" is more popular. When small, all Napoleonfish are females, but some become males as they age and their humps grow. Their bodies also turn a bluer shade as they mature and become males, making identification simple. Their bulky bodies, which can get to about six feet long, still glide easily through warm tropical seas. Finding these fish is a real treat for divers, as they're stunning to see— and it's a great story to tell.",I caught a Napoleonfish! Vive la me!,-,,ナポレオンフィッシュ,pez napoleón,pez napoleón,napoléon,napoléon,Napoleonfisch,pesce napoleone,나폴레옹피시,2306,2310,int_fsh_napoleon,No,,,,
49,zebra turkeyfish,,,Apr - Nov,Apr - Nov,All day,-,-,Sea,Medium,All day,No,400,320,20,Spring - Fall,Sea,,1x1,3,,-,0E,"Zebra turkeyfish have long, beautiful fins that flow like gowns as they swim through the sea. However, these aquatic beauties pack a punch, as their fins are filled with poisonous spikes. Aside from protection against predators, this poison comes in handy for turf wars between males. The losing male succumbs to the poison in a matter of days, making these battles life and death.",I caught a zebra turkeyfish! What are you? Make up your mind!,-,,ミノカサゴ,pez león,pez león,poisson-scorpion,poisson-scorpion,Rotfeuerfisch,leone zebrato,쏨뱅이,2307,2311,int_fsh_minokasago,No,,,,
50,blowfish,,,Nov - Feb,Nov - Feb,9 PM - 4 AM,-,-,Sea,Medium,-,No,"5,000","4,000",-,Winter,Sea,,1x1,3,,-,0E,"Blowfish are considered a delicacy, famous for their tempting taste despite being highly poisonous. Blowfish are not poisonous at birth, though, which makes young ones relatively safe for consumption. It's only once they have ingested enough microbes from seawater and food that they become poisonous. When they feel threatened, they suck in air and water to blow themselves up like balloons. This makes them too big to eat without predators being forced to chomp down on their poison quills.",I caught a blowfish! And that's not just hot air!,-,Re-Tail sell price of 125 in 1.0,フグ,pez globo,pez globo,poisson-ballon,poisson-ballon,Kugelfisch,pesce palla giapp.,복어,2308,2312,int_fsh_fugu,Yes,,,,
51,puffer fish,,,Jul - Sep,Jul - Sep,All day,-,-,Sea,Medium,All day,No,240,192,12,Summer,Sea,,1x1,3,,-,0E,"As expected, all puffer fish are covered in spines. While related to blowfish, they are not poisonous. Exaggerated claims about the fish say they have 1,000 spines; the true number is between 300 and 400. When threatened, they suck in water and air to puff themselves up in order to intimidate enemies.",I caught a puffer fish! Ouch!,-,,ハリセンボン,pez erizo,pez erizo,poisson-porc-épic,poisson-porc-épic,Igelfisch,pesce palla,가시복,2309,2313,int_fsh_harisen,No,,,,
52,horse mackerel,,,All year,All year,All day,-,-,Sea,Small,All day,No,150,120,7,Year-round,Sea,,1x1,3,,-,0E,"With their appealing flavor, horse mackerel have long been a cheap and common food source. However, in certain regions, they have actually been branded as something of a luxury dish. They have tough scales on both sides of their bodies that must be removed before preparing. Though small, they are formidable carnivores. Since they go after bait, they are popular with fishers.",I caught a horse mackerel! Holy mackerel!,-,,アジ,jurel,jurel,chinchard,chinchard,Makrele,sgombro,전갱이,230A,2314,int_fsh_aji,No,,,,
53,barred knifejaw,,,Mar - Nov,Mar - Nov,All day,-,-,Sea,Medium,All day,No,"5,000","4,000",250,Spring - Fall,Sea,,1x1,3,,-,0E,"Barred knifejaws stand out thanks to the seven stripes adorning their white bodies. Their natural curiosity and strong pull make them a popular target of anglers, but they're no easy catch. They have strong teeth that allow them to make short work of sea creatures with tough shells. This means that both urchins and mollusks need to be careful, lest they become meals for these fish.",I caught a barred knifejaw! I'll have to use it to cut veggies!,-,,イシダイ,dorada japonesa,dorada japonesa,scarus,scarus,Zebrabuntbarsch,ishidai,돌돔,230B,2315,int_fsh_ishidai,No,,,,
54,sea bass,,,All year,All year,All day,-,-,Sea,Very Large,All day,No,200,160,10,Year-round,Sea,,2x1,3,,-,0E,"Sea bass are famous for their delicious white meat as well as their large size. If they ingest something inedible, they open up their mouths and gills and violently shake their heads. This generally manages to expel the foreign material, though it has the added effect of looking rather odd. Much like their freshwater cousins, sea bass have a strong pull, making them a great challenge for anglers.",I caught a sea bass! See? A bass!,I caught a sea bass! What?! You again?!,,スズキ,lubina,lubina,bar commun,bar commun,Seebarsch,spigola,농어,230C,2316,int_fsh_suzuki,No,,,,
55,red snapper,,,All year,All year,All day,-,-,Sea,Medium,All day,No,"3,000","2,400",150,Year-round,Sea,,1x1,3,,-,0E,"Red snappers are gregarious fish that often form schools close to reefs and shipwrecks. They are a prized food fish, but because of demand, other species are often served as ""red snapper."" They usually live up to 50 years. The oldest recorded red snapper was thought to be 57.",I caught a red snapper! I just snapped it up!,-,,タイ,pargo rojo,pargo rojo,vivaneau,vivaneau,Kaiserschnapper,colisa,도미,230D,2317,int_fsh_tai,No,,,,
56,dab,,,Oct - Apr,Oct - Apr,All day,-,-,Sea,Medium,-,No,300,240,-,Winter - Spring,Sea,,1x1,3,,-,0E,"Dabs generally have both eyes on the right side of their body, though there are some exceptions. Both types of dabs begin in infancy with an eye on each side of their body. As dabs grow, the eye on the left migrates to the right, though sometimes it doesn't move at all. Dabs dig in the sand to hide, which allows their eyes to stick up a bit to watch for danger. Because they live off of bugs and small creatures, their mouths are small, containing narrow, dull teeth.",I caught a dab! I'm not just dabbling anymore!,-,,カレイ,gallo,gallo,limande,limande,Kliesche,platessa,가자미,230E,2318,int_fsh_karei,No,,,,
57,olive flounder,,,All year,All year,All day,-,-,Sea,Large,All day,No,800,640,40,Year-round,Sea,,1x1,3,,-,0E,"Olive flounders are rather flexible whitefish that have both eyes on the left side of their body. They can reach three feet in length and are commonly mistaken for dabs, a close relative. When young, they have an eye on each side, but as they age, their right eye migrates to their left side. These carnivorous fish can change color to camouflage themselves on the seabed as they wait for prey.","I caught a dab... Huh? Just kidding! It's an olive flounder! Make up your mind, fishy!",-,,ヒラメ,rodaballo,rodaballo,cardeau,cardeau,Flunder,sogliola,넙치,230F,2319,int_fsh_hirame,No,,,,
58,squid,,,Dec - Aug 15,Dec - Aug 15,All day,-,-,Sea,Medium,All day,No,400,320,20,Spring - Winter,Sea,,1x1,3,,-,0E,"People assume squids have legs, but those are actually arms. There are 10 in all; two are used to grab prey. To swim, they twist their fins and expel water from inside their bodies to allow for fluid motion. The ink they shoot when threatened forms into the shape of a squid, acting as a sort of body double.","I caught a squid! Yes, I did!",-,,イカ,calamar,calamar,calmar,calmar,Kalmar,calamaro,오징어,2310,231A,int_fsh_ika,No,,,,
59,moray eel,,,Aug - Oct,Aug - Oct,All day,-,-,Sea,Very Large,All day,No,"2,000","1,600",100,Summer - Fall,Sea,,2x1,3,,-,0E,"Moray eels can often be seen sticking just their heads out from between two rocks. When unsuspecting prey approaches, they dart out to snatch it up into their sharp-toothed mouths. Once moray eels have their teeth in you, it's hard to get away, making moray-eel bites no trifling matter. Their long, finless bodies are covered in tough, snakelike skin that often gets used as leather.","I caught a moray eel! And I was like, ""No way! Deal!""",-,,ウツボ,morena,morena,murène,murène,Muräne,murena,곰치,2311,231B,int_fsh_utsubo,No,,,,
60,ribbon eel,,,All year,All year,All day,-,-,Tortimer Island,Long,All day,No,600,480,30,Summer,Tropical Seas,,2x1,3,,-,0E,"Ribbon eels have long, ribbonlike bodies and look as if they have flowers sprouting from their noses. They get their name from their bright, vivid color, in addition to the length of their skinny bodies. Ribbon eels hatch sexless before first becoming males, then females as they age. Their tendency to stick their heads out from holes in the sand and open their mouths is not a sign of anger. In actuality, they're merely taking a breath. Oddly, they're surprisingly peaceful creatures, despite the look.",I caught a ribbon eel! Good for tying on to presents!,-,,ハナヒゲウツボ,anguila listón azul,anguila listón azul,murène ruban bleue,murène ruban bleue,Nasenmuräne,murena a nastro,리본장어,2312,231C,int_fsh_hanahige,Yes,,,,
61,football fish,,,Nov - Mar,Nov - Mar,4 PM - 9 AM,-,-,Sea,Large,-,No,"2,500","2,000",-,Winter,Sea,,1x1,3,,Nov 25 - Feb 24,7C,"Football fish live in parts of the ocean so deep that light does not reach them. Their lanterns, which they sway back and forth to lure prey, can emit light thanks to special bacteria. When prey gets near, they shoot a luminescent liquid and snatch the prey while it's blinded by the light. Only females possess the useful lantern. They can grow to be about two feet by maturity. Males are small, less than two inches in length.",I caught a football fish! Thanks to my fishing tackle!,-,,チョウチンアンコウ,pez balón,pez balón,poisson lanterne,poisson lanterne,Anglerfisch,pesce abissale,초롱아귀,2313,231D,int_fsh_ankou,No,,,,
62,tuna,,,Nov - Mar,Nov - Mar,All day,-,-,Sea,Huge,-,No,"7,000","5,600",-,Winter,Sea,,2x1,3,,Nov 25 - Feb 24,7C,"Tuna can reach almost 10 feet in length and weigh over 800 pounds, which is huge in the fish world. Combining this great size with their good flavor makes them literally the biggest catch for most anglers. Tuna can't breathe when they aren't moving, so their entire lives revolve around constantly swimming. To sleep, they merely slow down. This ability to swim while sleeping is a huge advantage. They're also rather fast, capable of beating both sets of fins so hard they reach speeds of 50 mph.",I caught a tuna! And now it's stuck in my head!,-,,マグロ,atún,atún,thon,thon,Thunfisch,tonno,다랑어,2314,231E,int_fsh_maguro,No,,,,
63,blue marlin,,,Jul - Sep,Jul - Sep,All day,-,-,Sea,Huge,All day,No,"10,000","8,000",500,Summer,Sea,,2x1,3,,-,0E,"Blue marlins are famous for their long, swordlike noses that give them the nickname ""swordfish."" They use their ""swords"" to knock out their prey before capture, not skewering it as you'd think. Able to swim at speeds above 60 mph, their speed and power make them a true test for any angler.",I caught a blue marlin! What a true darlin'!,-,,カジキ,pez espada,pez espada,marlin bleu,marlin bleu,Marlin,marlin blu,청새치,2315,231F,int_fsh_kajiki,No,,,,
64,giant trevally,,,All year,All year,All day,-,-,Tortimer Island,Very Large,All day,No,"4,500","3,600",225,Summer,Tropical Seas,,2x1,3,,-,0E,"Though you wouldn't guess it because of their size, giant trevallys are actually a type of mackerel. Unlike normally slim and sleek mackerels, giant trevallys have wide, silver bodies. Surprisingly, though, these fish cannot tolerate the cold, so they tend to live in warmer places. Their jaw strength is great enough to bite off a person's finger, so be very careful when fishing for them!",I caught a giant trevally! Pfff. I've seen bigger!,-,,ロウニンアジ,jurel gigante,jurel gigante,carangue grosse tête,carangue grosse tête,Pferdemakrele,carango gigante,무명갈전갱이,2316,2320,int_fsh_rounin,Yes,,,,
65,ray,,,Aug - Nov,Aug - Nov,4 AM - 9 PM,-,-,Sea,Very Large,4 AM - 9 PM,No,"3,000","2,400",150,Summer - Fall,Sea,,2x1,3,,-,0E,"Beating their large fins up and down to move through the water almost gives rays the impression of flying. If viewed from below, rays appear to have their mouths curled up into a sort of smile. Some varieties have poisonous spikes at the base of their long tail fins that can be fatal to humans. This, combined with the ability to hide in sand at the bottom of the sea, can make them very dangerous.",I caught a ray! That made my day!,-,,エイ,raya,raya,raie,raie,Rochen,razza,가오리,2317,2321,int_fsh_ei,No,,,,
66,ocean sunfish,,,Jun - Sep,Jun - Sep,4 AM - 9 PM,-,-,Sea,Huge (Finned),4 AM - 9 PM,No,"4,000","3,200",200,Summer,Sea,,2x2,3,,-,0E,"Ocean sunfish are a relative of blowfish that can reach up to two tons in weight. Lacking a tail fin, they cannot swim particularly quickly, which is an odd bit of anatomical detriment. The number of eggs they can lay is the most in the world at over 300 million. However, out of that 300 million, only one or two fish will ultimately survive. Ocean sunfish sometimes like to bob up and down on the surface of the ocean. This gives them the appearance they're sunbathing, which helps to make them a popular breed of fish.",I caught an ocean sunfish! My day is brighter already!,-,,マンボウ,pez luna,pez luna,lune de mer,lune de mer,Mondfisch,pesce luna,개복치,2318,2322,int_fsh_manbou,No,,,,
67,hammerhead shark,,,Jun - Sep,Jun - Sep,4 PM - 9 AM,-,-,Sea,Huge (Finned),4 PM - 9 AM,No,"8,000","6,400",400,Summer,Sea,,2x2,3,,-,0E,"The hammerhead shark is a shark with a head like a hammer, which is what you'd expect. However, despite being sharks, they are actually fairly laid back, which is not what you'd expect. With their eyes positioned on the two ends of their ""hammer,"" they can see in almost all directions. Oddly, their nose holes are located right next to their eyes on their hammer section. They have a number of small holes on the front and lower portions of their heads as well. These holes allow them to detect prey, even fish hiding below them and out of sight. While they eat a nice array of fish, it seems rays are their favorite source of food. Rays, beware!",I caught a hammerhead shark! I really nailed it!,-,,シュモクザメ,pez martillo,pez martillo,requin marteau,requin marteau,Hammerhai,pesce martello,귀상어,2319,2323,int_fsh_shumoku,No,,,,
68,shark,,,Jun - Sep,Jun - Sep,4 PM - 9 AM,-,-,Sea,Huge (Finned),4 PM - 9 AM,No,"15,000","12,000",750,Summer,Sea,,2x2,3,,-,0E,"The triangular teeth of sharks appear to have evolved from scales sometime in the past. When a tooth breaks, it quickly falls out and a new one grows in, keeping them always in good shape for prey. Sharks can be fearsome creatures, able to smell blood from several miles away. They can even jump out of the water to catch prey, making them powerful predators. Contrary to their tough image, their bones are made out of cartilage and erroneously used as health food.",I caught a shark! GAH! Why am I holding it?!,-,,サメ,tiburón,tiburón,requin,requin,Hai,squalo,상어,231A,2324,int_fsh_same,No,,,,
69,saw shark,,,Jun - Sep,Jun - Sep,4 PM - 9 AM,-,-,Sea,Huge (Finned),4 PM - 9 AM,No,"12,000","9,600",600,Summer,Sea,,2x2,3,,-,0E,"Saw sharks got their name from their long head lined with spikelike teeth much like a chain-saw blade. Sensors located below their mouths detect prey as they press their flat bodies against the seabed to search. They will sometimes swing their ""saws"" wildly amid a school of fish, catching any that are struck.",I caught a saw shark! And yet it didn't see me coming!,-,,ノコギリザメ,pez sierra,pez sierra,requin scie,requin scie,Sägehai,squalo sega,톱상어,231B,2325,int_fsh_noko,Yes,,,,
70,whale shark,,,All year,All year,All day,-,-,Tortimer Island,Huge (Finned),All day,No,"13,000","10,400",650,Summer,Tropical Seas,,2x2,3,,-,0E,"Whale sharks are the world's largest fish, but they're surprisingly some of the gentlest. They can swim at only three mph, so although they're large and very imposing, they're not really a threat. They swim with their mouths open to swallow vast quantities of tiny creatures and seawater. As they expel the water through their gills, they will eat what then remains. Since they don't have to bite prey, their teeth are file-like and number about 10,000 in multiple rows.",Ohmigosh! I caught a whale shark! It could have swallowed me up!,-,,ジンベエザメ,tiburón ballena,tiburón ballena,requin-baleine,requin-baleine,Walhai,squalo balena,고래상어,231C,2326,int_fsh_jinbei,No,,,,
71,oarfish,,,Dec - May,Dec - May,All day,-,-,Sea,Huge,-,No,"9,000","7,200",-,Winter - Spring,Sea,,2x2,3,,-,0E,"Oarfish are deep-sea-dwelling fish with long, thin, silver bodies and one red fin lining their backs. They can reach lengths of over 10 yards, making them huge and striking fish. They usually swim by twisting their long, thin bodies, but they can also swim in more vertical positions. Their mouths are small compared to their bodies and they have no teeth, so they're large but not imposing.","I caught an oarfish! Good, I needed a paddle!",-,,リュウグウノツカイ,pez remo,pez remo,poisson-ruban,poisson-ruban,Riemenfisch,pesce remo,산갈치,231D,2327,int_fsh_ryugu,Yes,,,,
72,coelacanth,,,All year,All year,4 PM - 9 AM,-,-,Sea (Rain),Huge,-,No,"15,000","12,000",-,Year-round,Sea,,2x1,3,,-,0E,"Coelacanths are ancient fish once believed to be extinct but recently discovered around South Africa. Called ""living fossils,"" they have apparently changed very little over the past 400 million years. They can live for over 60 years and reach lengths of six feet but have rather small brains, even for fish. They have more fins and harder scales than the average fish, making them a rather resilient breed. Their flavor is very different from most fish, and they contain a fat that is indigestible by humans. It's for that second reason that eating them really isn't highly recommended.",Holy fish sticks! I caught a coelacanth! Am I saying it right?,-,,シーラカンス,celacanto,celacanto,cœlacanthe,cœlacanthe,Quastenflosser,celacanto,실러캔스,231E,2328,int_fsh_siira,No,,,,
